File name,Type,File size,Compressed size,Compression ratio,Compressed data size,Decompressed data size,Time compression,Time decompression
MongoJerry,avi,21956608,38133084,173.675,38133084,21956608,47,17
The_Cathedral,avi,75683840,115900612,153.138,115900612,75683840,173,61
test0.txt,bckp,156,624,400.0,624,156,0,0
test_picture_bmp,bmp,2373438,3212972,135.372,3212972,2373438,3,1
pic,jpg,152097,403912,265.562,403912,152097,1,0
test_picture,jpg,152097,403912,265.562,403912,152097,1,0
test1,txt,11,36,327.273,36,11,0,0
test0,txt,164,656,400.0,656,164,0,0
test2,txt,889,1860,209.224,1860,889,0,0
test3,txt,663220,89444,13.4863,89444,663220,0,0
mueller_utf8-cl,txt,8579702,4417640,51.4894,4417640,8579702,9,2
test4,txt,8900888,345716,3.88406,345716,8900888,6,0
