File name,Type,File size,Compressed size,Compression ratio,Compressed data size,Decompressed data size,Time compression,Time decompression
MongoJerry,avi,21956608,31151242,141.876,31151242,21956608,30,16
The_Cathedral,avi,75683840,106511378,140.732,106511378,75683840,105,55
test0.txt,bckp,156,312,200.0,312,156,0,0
test_picture_bmp,bmp,2373438,2150306,90.5988,2150306,2373438,2,2
pic,jpg,152097,224506,147.607,224506,152097,1,0
test_picture,jpg,152097,224506,147.607,224506,152097,0,0
test1,txt,11,18,163.636,18,11,0,0
test0,txt,164,328,200.0,328,164,0,0
test2,txt,889,930,104.612,930,889,0,0
test3,txt,663220,44722,6.74316,44722,663220,0,0
mueller_utf8-cl,txt,8579702,3304860,38.5195,3304860,8579702,6,2
test4,txt,8900888,234444,2.63394,234444,8900888,6,0
